Hotel Name,Date,Person's Name,Review
Taj Bengal Kolkata,Jan-21,,"New Years at Taj Bengal was a wonderful experience, all thanks to the exemplary service and the courteous staff. A group of 16, of our friends, along with their respective family decided to stay at Taj Bengal on 31st Dec ’20 and 1st Jan ’21 to give a fresh start to the new year, and the decision was not regretted at all.The first thing which we noticed was the sanitization of the hotel, and the protective measure the staff took as a shield against COVID-19. Regular sanitizing, maintaining proper distance, use of protective equipment was spot on. On arrival at the hotel, we were welcomed and greeted by Smriti Mohandas, who very smoothly facilitated the check-in process and made sure we faced no issues, and considered all our requests. Upon request, we were provided free room upgrade as a gesture of goodwill.The rooms provided were form of true art and too spacious. I would like to mention the hospitality of Saurabh Mitra, the Front Office Manager, who attended us, and honoured us by arranging a meeting with the General Manager, Mr. Vijay Shrekent.Mr. Vijay's friendly and courteous nature was a sign of his cheerful and generous personality.The food served during our entire stay was, least to say, scrumptious, and was served hot and delicious each and every time, thanks to restaurant staff, Mr. Manoj, the restaurant manager, Ms. Ipsita, who hosted us, and Cruz Basu and Avik, because of whom we enjoyed our stay at the hotel.We availed the services of spa and gymnasium as well, and had a relaxing time there. With our stay coming to the end, last but not the least, Mr. Abhijeet Sarmah, too deserves a mention for ensuring smooth checkout. It was a lovely start to our year, and the hospitality shown by Taj deserves an applause. This for sure is one of the most amazing stay we had.”"
Taj Bengal Kolkata,Nov-20,,"“We were concerned about how safe the hotel would be from the pandemic point of view. I'd give it full marks. Next, the room was in perfect order, with all the right amenities sanitized and disinfected. My wife and I felt emboldened to avail of the spa services and it was a good decision. Food served both at Cal 27 and in the room was fantastic. I'd greatly recommend the New Beginnings package. Great value.”"
Taj Bengal Kolkata,May-21,,"“The hotel is great and service was fine but something looks amiss......have to call repeatedly for room service, the rooms were ok, bathroom was clean. Most of the place was not open due to the pandemic which is understandable. Breakfast could be better. People and staff are caring......”"
,,,
"Hotel Mayfair, Darjeeling",Feb-21,,"“As a resident of India and as a person who enjoyed luxury hotels, I can safely say that the Mayfair Darjeeling is a nice hotel and likely the best in Darjeeling. But it’s not amazing. Many rooms have no view. The service is inconsistent and again, during COVID even the staff didn’t wear masks much of the time. The food is ok. Nothing special, both Indian and western. But you can find nice places to sit and relax, they were helpful in planning the activities and overall they were nice people."
"Hotel Mayfair, Darjeeling",Jul-20,,“It’s really very safe to be there during COVID. It will be an amazing experience to be there to relax and rejuvenate myself amidst the Covid scare. Work from home was really so tiring that this break actually helped me a lot to get back to life.”
,,,
The Leela Palace Bengaluru,May-21,,"“Had a great experience. In the middle of Covid - 19 , we were apprehensive of staying at a hotel. But we saw the excellent protocols that were followed and were very reassured. The hotel took care of every need and especially Farzana made sure our stay and experience was wonderful. The hospitality blew us away. Despite difficult circumstances, it’s wonderful how Leela Palace and the team are handling things and taking such good care of guests. Look forward to our next visit and stay !”"
The Leela Palace Bengaluru,May-21,,“Excellent Hotel. 5Star Service by the staff. Maintaining very high standards of safety during Covid. We loved our stay and it was a good change from the daily routine. The staycation offer was fantastic. Highly recommended.”
The Leela Palace Bengaluru,Apr-21,,"“I stayed in the royal suite with family and friends and I must say the hotel is amazing itself along with Excellent service, excellent food, clean rooms, amazing staff. Glad to be back. The rooms were sanitised before we came, staff all masked up, hygiene to the max standard. Keep up the good work team Leela.”"
,,,
Courtyard by Marriott (Ahmedabad),May-21,Salin G,"Courtyard by Marriott is next to the acclaimed SG Highway at Ahmedabad. A luxury hotel which has all facilities to make the stay safe and comfortable. From their contactless check in and check out procedures, to their multi cuisine restaurants which provided buffet meals, their hygienic and safety protocols, gym, their dedicated and helpful housekeeping staff who ensures proper cleanship and maintenance were all impeccable. The attention to small details by the hotel staff is admirable. I wish them all the best for future endeavors"
Courtyard by Marriott (Ahmedabad),Jun-21,Harsh V,"good stay with homely ambience great food and excellent service good safety measures too being followed view covid 19 pandemic great service provided by the house keeping staff, reception and the cooks and stewards special mention for amit, smit, rishabh, akhtar, abhishek, tanuja maam, janki maam"
Courtyard by Marriott (Ahmedabad),Jun-21,Priya Singh,"I was staying with family for couple of weeks.the stay and the entire expirince was amazing the staff has helped us a lot during our stay specially i would like to thank miss Pooja she was a great help during such difficult time, it is not that normal and easy to maintain all the protocols provided by the government and all the hygenic stuff for our personal safety. But since miss pooja was all time available for us she guided us through all the basic and ""new nomal stuff"", she was taking care of each and every small details from providing sanitizer to each of us to maintaing social distace with everyone . would surely visit againg , very satisfied with the service!"
Courtyard by Marriott (Ahmedabad),May-21,Nachiket,"My stay was super comfortable in the hotel. All the safety protocols are followed in courtyard by marriott ahmedabad. Food here is very good and staff is also very friendly and always their to reach out whenever required. Especially Ms. Pooja she was very helpful throughout my stay, I always saw her in a fresh mood, very hardworking and kind at the same time. Always ready to take feedback of each guests regarding food and services. I had the best time in this hotel and will definitely recommend this hotel to everyone!!"
Courtyard by Marriott (Ahmedabad),May-21,Binoy M,Great place to relax and rejuvenate while on a business trip as well as with family. Safe and hygienic. COVID protocols followed very strictly. Services of Mr Preet Bindra is highly commendable.
,,,Housekeeping services of staff like Mr Rishabh and Mr Smith is at par best of the places I have stayed before. Congenial staff at the restaurant (Ms Pooja and the chefs) are a delight. Overall a great experience.
,,,
Courtyard by Marriott (Bhopal),Mar-21,Eva,"Me and my husband had a great stay in Marriott. Luxury rooms, staff is maintaing cleanliness, and delecious food by chef. They are following all the rules and regulations of covid 19, Maintaining social distancing in public areas. We had buffet in mono cafe food was very delicious. And staff was very caring. We always prefer to stay in Marriott. We came Bhopal for the first time. There was a girl in restaurant Shristi she was very kind and energetic. Thank you for your services."
Courtyard by Marriott (Bhopal),Jan-21,G John,Bhopal does not have too Many good hotels but Marriot lives up to ultra standards . Clean neat and cozy . Good restaurant and quite well located . The spacious rooms and clean linen is a positive and the only thing of concern is the screening fir Covid for all guests which seemed quite strange
Courtyard by Marriott (Bhopal),Dec-20,Deepak Bali,The sanitation and cleanliness was up to the mark. People usually fear to travel and stay in Bhopal in the wake of covid-19 situation. Hence i booked the Marriott since it is trustworthy and it worked. I had a great stay and most important are the precautions they carry to avoid spread of disease.
,,,
,,,
The Oberoi Cecil Shimla,Jan-21,Parvinder Singh,Nyc ambience. Great view from hotel. Car parking available. Safe and hygienic. Thermal screening is also done in the entrance.
The Oberoi Cecil Shimla,Jun-20,Aldrin Dazel Marak,Destination Specialist designation and maintain proper hygiene and safety.
The Oberoi Cecil Shimla,Jun-20,sangeeta jindal,"Post lockdown we escaped to the nearest getaway. Cecile Oberoi, Shimla offered an excellent stay . Their lobby is worth mentioning , The chef , RajkumarBhatia personally took care of us and even shared his prized recipes"
,,,
Taj Theog Resort and Spa Shimla,Feb-21,bansi honey,"Great property in Himalayas, very well kept and clean. All COVID protocols are being strictly followed. At the entrance you are checked for the temperature and then only allowed inside. Staff is very courteous and professional"
Taj Theog Resort and Spa Shimla,Apr-21,Shruti Pritam,"… encountered with right from valet to the check-in to the cleaning staff, were really helpful. They took proper care of hygiene and cleanliness. All the COVID related rules were perfectly followed. This also helped us relax a lot as we …"
Taj Theog Resort and Spa Shimla,Jun-20,Kawaljit Singh,"Very convenient check in policy, exceptionally clean rooms and most courteous staff. The icing on the cake is their both side valley views of the hotel."
,,,
Radisson Jass Shimla,Apr-21,Murad Jukako,"Guyz please avoid this hotel because half of the staff has tested covid positive ,and even rooms are not properly sanitized , and the hotel is not taking any precautionary measures to control covid...."
Radisson Jass Shimla,Feb-21,Daivik Sharma,Rooms were very clean and spacious. Room service was prompt. But no welcome drinks.No complimentary cake for birthday inspite of letting them know about it. They made an excuse of corona for this though it was available on order
Radisson Jass Shimla,Jun-20,Amardeep Singh,"… staff, very well kept rooms..I shall await to go back for a nice relaxing time again sometime soon . Hope you keep up with the quality standards, hygiene and cleanliness. Detailed review to follow soon on Trivago, Agoda and other places"
,,,
Hyatt Regency Dharamshala Resort,Jan-21,Saurabh,"Great hotel, great location, amazingly clean. However not value for money considering the pool/spa are currently closed due to Covid."
Hyatt Regency Dharamshala Resort,Feb-21,NITIJ ARENJA,"WOW ! The rooms , the residences , the team , the location , the luxury, the service & hospitality , the breakfast menu, the attention to detail and commitment to excellence in service were all EXCEPTIONAL & OUTSTANDING"
,,,
Welcomehotel by ITC Hotels Shimla,Apr-21,Neha Jain,The covid 19 sanitization protocol is up to the mark. The food is fabulous. The room vies from the balcony is fabulous with 280 degree view of valley..room no. 412 had amazing views..fantastic stay n must recommended place. They will make …
Welcomehotel by ITC Hotels Shimla,Jun-21,Sumant Dadhwal,"Nice property well maintained, Warm courteous staff. Good location , Approch road needs repair.Good food with limited options.All Covid norms are followed."
,,,
Maiden Hotel Delhi,Jan-21,R Kapoor,"A heritage (100+ years old) property still maintaining the highest standards of luxury, hygiene and hospitability. The property is the best to stay if you plan to visit historic parts of Delhi. Staff at the hotel made us feel at home, we were a large family, 5 adults, 3 kids. Kids loved the lawns near the pool, and also enjoyed various activities organized by the hotel on request (treasure hunt, hygiene workshops, plantation sessions). During COVID times, we wanted to ensure that the hotel follows strictest protocols to avoid the possibility of infections, and we weren't disappointed"
Maiden Hotel Delhi,Dec-20,Sundar,"Stay was excellent. Collecting the bags and also double checking with the cab driver if any bags are left in. Registration at the reception was too good. very simple, less time, Accompanied us to our room. Rooms were so neat, clean and royal. It was sanitized. All the amenities were placed at exact location where we needed."
Maiden Hotel Delhi,Oct-20,Megha,"Absolutely loved the entire experience. From super friendly staff to amazing ambience, everything was top notch. A big kudos to the entire staff who followed all the Covid-19 safety measures and made sure that we felt safe during this pandemic. It was lovely staying at Maidens."
Maiden Hotel Delhi,Oct-20,Nitin,We had an outstanding experience with them super hospitality. Food deliciously good.
,,,COVID 19 safety measures fully followed. Best property for peaceful and royal heritage experience in heart of delhi
,,,
"The Oberoi Grand, Kolkata",Jun-21,Aryamann,This heritage hotel is one of best place one can plan a visit or a staycation right now. It provided us with upmost facilities and comfort keeping all the COVID protocols in action. I am impressed by the friendly behaviour of all the staff members and the nice gesture they had done for my grandparents anniversary. Hoping to pay a visit again
"The Oberoi Grand, Kolkata",Jun-21,Brahm Pal Singh,Excellent behave and room service is also excellent. The breakfast and dining was excellently served in room with super protection due to COVID Pandemic situation. All the staff seems to be excellently behave and very cooperative
"The Oberoi Grand, Kolkata",May-21,Raghu K,"I recently stayed at the The Oberoi Grand, Kolkata during the lockdown whilst travelling for work.  COVID/SAFETY: The hotel felt super safe. With social distancing measures in place as well as plexis on the front desk, hand sanistizers, etc. we really had no worries during our stay. We have recommended it to several of our friends as a prime place to stay in if you want to explore Kolkata. "
"The Oberoi Grand, Kolkata",May-21,Satvik,"One review is not enough to describe the dedication and hospitality of the staff at Oberoi Grand. The food, the ambience, the quality, everything is pitch perfect. The safety standards are perfect as well. Would strongly recommend it to anyone! Brilliant!"
"The Oberoi Grand, Kolkata",May-21,Yogita L,"We stayed at the Oberoi for work when the second wave of the pandemic was raging in the city. Despite this, the staff made our stay very comfortable. There were restrictions imposed by the state, which meant restaurants were not allowed to be open. They organised dining for us in a way that we didn’t feel cooped up in a room. The food was always excellent, and they often sent little treats of their own. "
,,,
Vivanta Guwahati,Jun-21,Sandeep K ,Taj Guwahati improving on every single day sailing thru pandemic times. Thou a little miser on Air-Conditioning for covid reasons the have been AMAZING HOSTS as ever. Best place in The gateway of Northeast. Be it work or leisure or a break 4 and onward trip to Sister states it a wonderful n must stay Hotel
Vivanta Guwahati,Jun-21,Sujata Chanda,Yes the food was excellent and Pradip was on duty and he is very friendly and helpful staff and made sure our breakfast experience was great. The best part I like about going to Taj for food is that they maintain all the safety protocols for COVID so feel safe going there for food. Food has been good always and the service and ambiance is excellent.
Vivanta Guwahati,Apr-21,,"Superb hospitality and food. Loved the ambience and service by Upakul specifically, who made us feel at home. In this pandemic, when things are so chaotic, there were only a handful of guests seated far across from us, but even then the joy of eating outside was not amiss, keeping in mind that all covid restrictions were in place and adhered to"
Vivanta Guwahati,Apr-21,Ravi Rai Mittal,We checked in during the month of April 21 when the second covid wave was at its full throttle. But full safety precautions were being taken and we had a very comfortable and safe stay. Food is very delicious with authentic taste. Staff is very courteous and responsive. No less than Five stars.
Vivanta Guwahati,Apr-21,Surgam C,"It’s always great to stay in taj, guwahati. We love going there. It wasn’t our first time and surely isn’t the last one too. Post pandemic the services were little down but now it has picked up. It was a great experience last weekend. Overall it’s a great experience always"
,,,
Novotel Guwahati GS Road,Apr-21,,"Excellent service with all COVID protocols. Also, would like to appreciate service of Mawii and Leela at the restaurant. Both are phenomenal in managing guests. I highly recommend this hotel at Guwahati for business and leisure trip, both."
Novotel Guwahati GS Road,Mar-21,,The hotel has a friendly staff and gives you a complete friendly feeling which you cant find it anywhere else I should mention that the hotel has worked upon a lot on following the covid protocols and moreover the sanitation part too. You see and get the positive vibes from the time you enter. Keep this going and for sure we will visit again.
Novotel Guwahati GS Road,Mar-21,Arvind,"It is indeed a pleasure staying with Novotel. Perfect ambience,cleanest room with all the amenities.Most importantly the service and the behavior part. Maintaining proper protocol of Covid 19,hassle-free check in. A must stay hotel at Guwahati in the middle of the town with all the required access. I thoroughly enjoyed my stay here. "
Novotel Guwahati GS Road,Mar-21,Habib Shaik,"Nice hotel with comfort stay at Novotel, hotel nicely maintained with all hygiene and safety. Staffs are well behaved and polite. Keeping in the view of pandemic situation it is really a safest hotel to put up at Guwahati"
Novotel Guwahati GS Road,Jan-21,Manish D,Extremely comfortable. A very helpful staff. All precautions for covid in place. Food is excellent though bit costly and is available 24 hrs
,,,
Hyatt Regency Chandigarh,Jun-21,Annahat R,Hygiene and food remarkable! Looking to come back soon! Definitely will return soon! Remarkable service during covid
Hyatt Regency Chandigarh,Jun-21,,"We took a vacation after long time .. cos of covid restrictions .. Hyatt Chandigarh never disappoint s .. all covid precautions taken , good food , excellent stay . Mr Vikas was v helpful in arranging everything as per our request ..since I was travelling with kids .. special thanks to him for excellent hospitality !!"
Hyatt Regency Chandigarh,Jun-21,Deepak S,"Great hospitality, tasty food, helpful staff, clean n spacious room, over all I have again great experience. In covid - 19, I never feel unsafe at Hyatt properties. They take care n obey all safety instructions for guest.. highly recommend... SPL. Thanks Mr. Vikas bhatt for help me in reservation and Mr. Nikhil Chopra n Mr. Luxmi Dubey ji"
Hyatt Regency Chandigarh,May-21,,Very comfortable stay. All covid precautions are being taken. Service is amazing. The food was provided in the room. The rooms were clean and sanitized. The laundry service is prompt and efficient. Overall a wonderful stay.
Hyatt Regency Chandigarh,Apr-21,Raj Shekhar,We hosted a wedding stay for three nights during the most difficult Covid2 days.The rooms were in perfect condition befitting the star status.Food was delicious.The services were efficient.The staff very warm and eager to serve. The sales team Ramneet and Manish were the reason for our choosing Hyatt. Ramneet had the sensitivity of understanding guest needs and the possible situations arising out of the Covid environment and was able to carve out a win-win deal.
,,,
The Lalit Chandigarh,May-21,Ishan R,Front office staff is very professional and taking care of covid precautions and proper sanitization and special thanks to Mr.Jatin back bone of team and receptionist Rameshwari take care of guest need..
The Lalit Chandigarh,May-21,Harsimran Brar,We stayed with family for two days in the month of march . The first impression is just wow . It start from the grand lobby and coffee shop . You could find the staff following covid protocall . The floor lift area was also having sanatizer stand The room size is huge and ask for valley view room . Overall a good stay in pandemic
The Lalit Chandigarh,Jan-21,Manik Singhal,"I stayed for 7 days. I had concerns with the staff.Given covid times, hotel claimed good sanitization and hygeine. But staff in meals area didn't have standard proper masks. All had different type of masks and some wore them sincerely while others didn't care much. I haven't seen such category hotels to ignore such practices. On the day of their audit, all staff was extra cautious and everything was being properly executed. Each table was also provided a sanitizer bottle. It felt like a local office where people do proper and right work only to show superiors and it is not what they follow regularly. My feedback is based on relative comparison among hotels of this category. And I expect a good degree of hospitality and discipline from such hotels, else what is the use of being top class"
The Lalit Chandigarh,Dec-20,Gavaksh B.,We really enjoyed our stay at The Lalit. The staff is courteous and polite. Shweta at front desk is very helpful. The food is delicious and room are spacious. Covid protocols are strictly complied with
,,,
"Taj Hotel, Chandigarh",Jun-21,Avinash K,"its always a relaxing stay with Taj Family. Friendly staff, safe stay during pandemic, luxurious experience. Taj Chandigarh located at the heart of Chandigarh which helps to move around very easily. Rose garden is across the road for morning walk."
"Taj Hotel, Chandigarh",Jun-21,Priaank K,The stay was awesome and totally enjoyable. The staff was very courteous specially the female staff and guards. Food spread despite COVID protocol was good and restaurant and kitchen staff tried their best to satisfy your choices.
"Taj Hotel, Chandigarh",Jun-21,Gaurav G,The covid-19 protocols are not followed at any level. Worst service being given in rooms. The major part of property being air conditioner not working for the full night. Worst experience for my lifetime. Sometimes hair comes in the food and sometimes hands without gloves and all our id and everything being used and returned unsanitized. Not following most of the govt. Guidelines. Taj known as the strongest brand of india in hotels provide the worst service which a normal 2 star hotel provides. We cannot differentiate much from the services given specially when the couple is out for a special occassion. They know well how to spoil the day for the same. Not once but they did twice in a year. Its wrong if we give them a chance too.
"Taj Hotel, Chandigarh",May-21,Dikshit,"Warm welcome followed by smooth check-in in upgraded suites, all required precautions were taken care well, amazing food (in-room dining), comfortable stay, in-room breakfast (due to covid) was mouth melting, did not want to check out next day actually, visiting again soon for a long stay with family"
,,,
"ITC Gardenia, Bengaluru",Jun-21,Pranit Naidu,"Stay was perfect .All the covid norms were followed .All the staff were polite courteous ,specially Ms.Suity she was very well explained all the protocols abd specially arranged the room as i went for birthday . Food was amazing in taste .will surely visit again . Thank you"
"ITC Gardenia, Bengaluru",Jun-21,,"We visited the ITC Gardenia recently, and believe me it's a wonderful experience. In times of covid, this hotel takes all possible precautions to keep the guests and the staff safe. There is no loose cutlery or plates. All the cutlery is sealed and is opened upon use only. All staff has gloves, masks and shields, and they make sure that no guest is breaking any protocols by removing masks etc. The rooms and sanitized and sealed for guests. So if anyone wants to stay at any hotel at this time, I would suggest ITC Gardenia is the best option. "
"ITC Gardenia, Bengaluru",Jun-21,Kapil Singh,Excellent service even in Covid time. As usual the food quality the best Amit at restaurant was very friendly & Ms suity assisted very well to us All the staff was great they listened to us The sanitization was at the top Great ambiance and great food
"ITC Gardenia, Bengaluru",Jun-21,Ramesh KS,"Our short visit to Bangalore turned into a long vacation of a few months due to flights suspension owing to COVID.Due to lockdown we are practically stuck in the hotel and they provide all meals to our specifications, thanks to all personnel concerned from all departments. To provide COVID Security to guests Hotel is keeping most of their staff on the premises and during our stay we observed that staff was also vaccinated. This provides a great peace of mind. For this Hotel Management overall and Senior staff on site need to be highly appreciated."
"ITC Gardenia, Bengaluru",May-21,Ajit Upadhyay,"I had a wonderful rime during my visit. The service was excellent Would like to visit again in near future During this covid they have dealing with the situation with every protocol following steps Nice staff, Nice gesture Thank-you for the service!! Highly recommend."
"ITC Gardenia, Bengaluru",Apr-21,Dilip Talera,The service provided under this pandemic situation was excellent. All precautionary measures are handled exceptionally and of course with mouth watering food. Special mention to Shoubhick and team cubbon for their Marvellous hospitality
"Hotel Conrad, Pune",May-21,Salman S,"Beautiful hotel had a really great day and the time spent was really memorable. Very much safe during this panademic. The staff specially at desk really helpful, Mr Saeed the manager at desk, Ankit and Viraj too. Thank you"
"Hotel Conrad, Pune",May-21,Jinesh Joseph,"Great hospitality and beautiful property. Food was good too and staff were friendly. Overall a great experience In this pandemic situation with all safety measures. Thanx and all the best to the team, will visit again."
"Hotel Conrad, Pune",May-21,Aniket,"Grew hotel with good availability, taken lots of precautions for COVID very much safe with everything food rooms staff. Special mention to Mr. Viraj from front desk very helpful person has taken care of everything"
"Hotel Conrad, Pune",Mar-21,Dilip Rathi,It's nice stay in Conrad. The hospitality of staff is very excellent. During stay in this pandamic situation the precautions taken by hotel management & staff is so nice
"Hotel Conrad, Pune",Mar-21,Ameya Sirur,"Very courteous and efficient, ensuring all safety standards have been implemented during the Covid pandemic. Lovely ambience and child friendly."
,,,
"The Park, Navi Mumbai",Jun-21,Sheetanshu Sharma,"I had a great stay at The Park Navi Mumbai. The Hotel rooms are great and the housekeeping team worked really hard to maintain the hygiene standards and makes me feel safe during COVID times.Special thanks to Mr Zahid Khan from front desk , for extremely polite and welcoming nature everytime."
"The Park, Navi Mumbai",Jun-21,Ramesh,We stayed at The Park Hotel during our relocation from Noida to Mumbai. The services were excellent. All Covid appropriate behaviour was being followed by the staff. Thanks to all staff specially Mr Ashish from sales for seam less arrangements.
"The Park, Navi Mumbai",Mar-21,Varun Agrawal,"Stay period 27th Feb to 1st Mar 2021. We were here to attend a family function. Rooms were very spacious , clean and hygrines level was top class. All the necessary safeguard in terms of COVID-19 were in place. Hotel staff very polite and co-operative. Food was excellent No complaints at all"
"The Park, Navi Mumbai",Jan-21,Ravish Mittal,The Park Hotel at Navi Mumbai have operated with full safety and precaution during Covid-19 pandemic. Great hospitality and friendly staff. Nicely maintained with great food. Thoroughly enjoyed their vegetarian Thali for dinner. Will be my only preference to stay in Navi Mumbai
"The Park, Navi Mumbai",Jan-21,Priya ,"I had such a good time! Everything was perfect total value for money! Breakfast was also good, felt very safe even in pandemic. All the staff also took such care and were very conscious of safety procedures including the housekeeping. Even front desk was super nice, I think there was someone named Zahid or zaheed who helped us out a lot! Thanks, will definitely come back!"
,,,
"Hotel Fortune Park, Ahmendabad",May-21,Rajesh shah,Housekeeping services was excellent. Fb service was fine. staff was helpfull. Touchelesss sanitizer and safety precautions were outstanding. enjoyed stay. highely recommend. Easy check-in and check-out
"Hotel Fortune Park, Ahmendabad",Dec-20,Rajesh Kumar,Nice precautions and methods are applied and hotel. Very courteous and support full staff. Good was very tasty and awesome Nice wifi speed. 
"Hotel Fortune Park, Ahmendabad",Nov-20,Jay,wonderful stay at fortune par ahmedabad excellent hygiene and safe hotel in pandamic tasty food and staff is courteous. Wifi was excellent. from the beginning to end enjoyable stay
"Hotel Fortune Park, Ahmendabad",Nov-20,Shivani D,"I was visiting Ahmedabad for the first time, and was put up at the hotel for four days and had the most comfortable time at the hotel. From sanitisation protocol to the staff members cooperation everything was much appreciated. To name a few, miss Priyanka, miss Gopa who made sure the entire stay was pleasant and everything was organised with utmost care. They were available throughout for any help. Looking forward to staying with ITC FORTUNE PARK on my next visit"
"Hotel Fortune Park, Ahmendabad",Nov-20,Deep,"Content review:- Outstanding stay,Good precautions and safety precautions are taken at the hotel. Spacious and nice view room. As I expected as per ITC standards , it was fullfilled. Special note of appreciation to some of the staff member such as Neel Modi who offered me best rate his helpful,courteous attitude. Surjeet from restaurant his courtesy during breakfast was really great. I definitely recommend my friends for this hotel"
,,,
"Boulevard 9, Nadiad, Gujarat",May-21,Gauri Shanbhag,"Overall, I had a great experience with Boulevard9. Staff was incredibly helpful, and the amenities were great. The room was wonderful, clean, and perfect to celebrate a birthday weekend. During this Covid 19 pandemic the hotel has maintained a good hygiene. The team and personally Mr. Ravish Singh take good care of each and every guest who comes in the hotel. "
"Boulevard 9, Nadiad, Gujarat",May-21,Chirag S,Too good service as well as rooms. Clean and neat rooms. Safety in covid-19 atmosphere is also great. Lovely weather inside as well as outside. Online payment service is also available so without touching Is best.
"Boulevard 9, Nadiad, Gujarat",Apr-21,Jaini,I have visited property recently in April first week.Staff is very cooperative and supportive. Rooms are clean and hygenic. They are operating and following all guideline of corona. Must recommended
"Boulevard 9, Nadiad, Gujarat",Dec-20,Sanjay Gupta,The staff was really helpful! though the checkin took more than 1hours but its completely understood with the covid situation. Mr. Chetan was really kind and helpful. The house keeping staff ensured to surprise us and make our anniversary celebration even more special. Its worth every penny and awesome experience
"Boulevard 9, Nadiad, Gujarat",Dec-20,Ashish M,Had a great time there. Will surely visit again to explore more about it. Food quality was also good. Due to COVID some of the services was not able to use. But we will surely spend some more days next time
,,,
"The Fern, Ahmedabad",Jun-21,Debadutta Mohapatra,The stay was at The Fern Ahmedabad was a absolute pleasure for myself & my colleague. From housekeeping to room service everything was nicely organised by Mr. Susil Mathankar. Everything was managed by the Hotel nicely to the best possible Specially when the COVID situation at Ahmedabad was at its peak. I appreciate The Fern Hotel & it’s staff for their excellent efforts
"The Fern, Ahmedabad",May-21,Dr. Sanjay Majethiya,"Rooms were awesome,Staff was nice and cooperative.Food at the same time was hot & upto the mark,Hygeine and sanitization was perfect, room cleaning also perfect.I shall come back again in the future. For business as well for personal visits"
"The Fern, Ahmedabad",May-21,Kashyap,was afraid of finding safe place during lockdown. recomended by friend selected fern and must say they are very cautious about hygiene and safety in hotel. wether its elevator or reception counter or room all places we felt upmost hygiene. must recomend for luxury 5 star stay and yummy food.
"The Fern, Ahmedabad",May-21,Saumil S,Excellent Service by supporting staff among with great response by receptionist staff. Food was also tasty with taking precautions of covid 19. It's great experience of a peaceful and lovely hangout...
"The Fern, Ahmedabad",Jan-21,Aastha,"Very good service and hospitality specially by Mr. Vinay, Mr. Ankit and Mr. Sagar. The rooms were also properly cleaned and sanitized and the food was also very delicious. We really enjoyed the stay there."
,,,
"Taj Usha Kiran Palace, Gwalior",May-21,Apporv ,Lovely heritage property. Very clean and strictly maintain all Covid precautions. The staff is courteous and professional. They go out of their way to help you and make your stay comfortable and enjoyable. Big shout out to Ms. Aditi for going out of her way to make our stay great.
"Taj Usha Kiran Palace, Gwalior",Jan-21,Akhilesh Jha,"This was my second stay and I could clearly notice a fall in quality. Any heritage property is only as good as its upkeep and maintenance and this property needs a lot of it. Bathroom fittings leaked, only 20L of hot water could never fill the grand bath tub, touch-free dispensers should be a norm in Covid times. None of the above one expects from a Taj property."
"Taj Usha Kiran Palace, Gwalior",Nov-20,Dr Preet,The restaurant (only one) was good and the staff was helpful. We took the 4D (meals included) package and they had the same set menu. The staff was accomodating thankfully and the food was good. The place was not crowded so that allowed Social Distancing measures to be followed.
,,,The property is smaller than other Taj Palaces but still has a nice traditional touch to it. We felt the common areas could be slightly better maintained.
,Oct-20,Sunny,Had an ok experience not that great what was expecting with Taj Properties. Also doesn’t feel so safe due to Covid conditions mainly at the entrance. Rest staff and food is good. Rooms were very spacious but not at all maintained and giving an excuse for heritage property sorry can’t digest that. Room need refurbishment.
,,,
Marriott Hotel. Indore,Jun-21,Sanjay,Good behaviour of the staff Maintained all Corona protocol and served food with all safety Would recommend it. Chef Roshan and love singh payed full attention on safety and hospitality
Marriott Hotel. Indore,Jun-21,,We had a wonderful family experience in these difficult times. Everything was taken care of. Hygiene was well maintained and our special requests were catered to even though resources were limited. Thank you so much!
Marriott Hotel. Indore,May-21,Golu Khan,Stay was very comfortable food was also good staffs are very helpful and supportive also the housekeeping staff akram is doing very good job cleaning and sanitization of room was perfect and love to com back thanks to indore Marriott
Marriott Hotel. Indore,May-21,Ayan Khan ,Due to lockdown we plan to have some fun locally found indore Marriott is the best hotel in the city staffs were very helpful they follow all precaution of covid and rooms very comfortable and clean thanks to everyone who provide such amazing stay for us .
Marriott Hotel. Indore,May-21,Yana Singh ,It was first visit at the Indore Marriott very warmly welcoming at the entrance. Everything were perfect very neat & clean and all the staff were following the COVID-19 precautions ! It’s one of the safest place to chill out. Thanks to making stay very memorable
Marriott Hotel. Indore,May-21,Shobhit Verma,I need to travel for business in these unprecedented times and I was amazed to see the COVID protocols and guidelines being strictly followed at Marriott Indore . Very safe and good hotel to stay and well deserved appreciation and recommendation.
Marriott Hotel. Indore,May-21,Reet S,Good room service specially housekeeping team is doing a great job when cleaning the room in this pandemic taking all precaution sanitize every corner and services are very smooth
,,,
"Sheraton Grand Palace, Indore. MP",May-21,Sneha,"Travelling in the time of a pandemic is very daunting, but the staff at the grand palace made it very easy. The hotel was very clean, sanitization was taken care of. We stayed here in April and felt so safe that we decided to stay here again on our way back in the month of may."
"Sheraton Grand Palace, Indore. MP",Jan-21,Siddheshwar,Best place to visit . Excellent staff i.e Rahul singh And Alex with good dine in services. More than that they are fallowing covid 19 protocal in a good manner
